DateTime, Speed (Kbit/s)
4/11/2009 5:48:34 PM, 1045.99587683714
DateTime, Speed (Kbit/s)
4/11/2009 5:50:32 PM, 450.135653368439
DateTime, Speed (Kbit/s)
4/11/2009 5:54:08 PM, 465.137956528168
4/11/2009 5:59:31 PM, 823.790918137537
4/11/2009 6:04:58 PM, 678.397239594565
4/11/2009 6:10:46 PM, 353.500247224345
4/11/2009 6:17:04 PM, 209.229786894405
4/11/2009 6:23:48 PM, 157.532150154241
4/11/2009 6:29:45 PM, 293.062045835662
4/11/2009 6:41:03 PM, 278.521036974076
4/11/2009 6:48:06 PM, 131.713003282642
4/11/2009 6:54:06 PM, 280.68812905989
4/11/2009 7:00:10 PM, 259.956036691183
4/11/2009 7:06:10 PM, 278.757975329647
4/11/2009 7:12:00 PM, 340.358348480914
4/11/2009 7:17:57 PM, 295.912554324309
4/11/2009 7:23:48 PM, 329.685587322881
4/11/2009 7:29:46 PM, 292.446312031683
4/11/2009 7:35:56 PM, 238.815687584458
4/11/2009 7:42:03 PM, 246.917425431711
4/11/2009 7:47:58 PM, 305.351193942924
4/11/2009 7:53:50 PM, 321.760939385881
4/11/2009 7:59:44 PM, 313.606890776409
4/11/2009 8:05:36 PM, 328.487531849129
4/11/2009 8:11:53 PM, 215.151357636277
4/11/2009 8:17:56 PM, 266.72726347742
4/11/2009 8:23:24 PM, 649.219465885169
4/11/2009 8:28:44 PM, 977.176938369781
4/11/2009 8:34:02 PM, 1039.2916611603
4/11/2009 8:39:20 PM, 1066.05937372916
4/11/2009 8:44:41 PM, 915.946890286513
4/11/2009 8:50:02 PM, 901.354727793696
4/11/2009 8:55:21 PM, 992.405830020822
4/11/2009 9:00:53 PM, 566.002375040484
4/11/2009 9:06:24 PM, 574.142726774959
4/11/2009 9:11:52 PM, 666.6090273363
4/11/2009 9:17:52 PM, 278.250039803987
4/11/2009 9:23:29 PM, 468.951699463327
4/11/2009 9:28:56 PM, 692.312161626832
4/11/2009 9:34:22 PM, 698.305807139052
4/11/2009 9:39:43 PM, 923.584263065179
4/11/2009 9:45:10 PM, 677.520568597889
4/11/2009 9:50:41 PM, 554.684722809987
4/11/2009 9:56:03 PM, 858.831495031124
4/11/2009 10:01:31 PM, 659.952167163177
4/11/2009 10:06:55 PM, 767.700117141742
4/11/2009 10:12:19 PM, 766.390878526531
4/11/2009 10:17:40 PM, 963.58757581327
4/11/2009 10:23:04 PM, 792.494583564267
4/11/2009 10:28:25 PM, 960.762323621037
4/11/2009 10:33:51 PM, 715.849262697979
4/11/2009 10:39:15 PM, 778.144758323851
4/11/2009 10:44:35 PM, 955.277254782873
4/11/2009 10:49:57 PM, 841.148724530724
4/11/2009 10:55:15 PM, 1098.44542216635
4/11/2009 11:00:35 PM, 1029.96791303778
4/11/2009 11:05:54 PM, 1009.86452648475
4/11/2009 11:11:15 PM, 917.228831350595
4/11/2009 11:16:34 PM, 1018.4964061387
4/11/2009 11:21:54 PM, 971.383399209486
4/11/2009 11:27:15 PM, 884.078466640436
4/11/2009 11:32:39 PM, 797.881600973977
